period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,epoch,avg_liquidity_usd,total_volume_usd,liq_points,vol_points,tier,deprecated
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,project,201,816964.02,20637.58,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,bluechip,201,343451.23,4167.44,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,stable,201,342100.33,30273.59,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,stable,201,193178.96,2325.00,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,bluechip,201,188013.32,233.75,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,single,201,151707.14,846.72,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,bluechip,201,109917.00,1926.51,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,project,201,88997.58,455.03,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,project,201,61764.92,107.95,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,project,201,42256.55,15.17,10,4,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-ROAR,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,project,201,34195.25,243.02,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,bluechip,201,35010.65,971.35,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,bluechip,201,35136.87,767.55,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,bluechip,201,27584.91,691.73,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-arbLUNA,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,single,201,14774.24,85.43,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-SOLID,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,stable,201,15947.08,202.45,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-USDT,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,stable,201,12692.81,154.71,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-ASTRO,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,project,201,10487.11,869.26,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-arbLUNA,terra16nfwldn9j5xhry2y78gvm3x4vte8vu77zr3ctlan79w5f5aheawqnz7a4f,single,201,7180.67,25.84,10,10,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,ATOM-dATOM,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,single,201,0.00,248.60,0,10,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-stLUNA,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,project,201,5687.47,1.47,10,1,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-bLUNA,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,project,201,5550.59,1.71,10,1,bucket-direct,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,wstETH-WETH.axl,terra1yga5eepqnpg77gaj59uqfkm2qtllvpq642cmx5gj5lzjf5v88wzs2srzp7,single,201,0.00,36.65,0,8,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,ATOM-stATOM,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,single,201,0.00,0.37,0,1,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-WBTC.axl,terra1afkvgc0mxfqakqlaqpxdgy58n79x4r239q3tucxmrsqvqk7ce3ksnctxfu,bluechip,201,0.00,2.91,0,5,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-SWTH,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,project,201,0.00,2.16,0,5,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-wBNB.axl,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,bluechip,201,0.00,0.00,0,0,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,WBTC.axl-WBTC.osmo,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,single,201,0.00,0.98,0,3,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,SWTH-rSWTH,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,single,201,0.00,0.00,0,0,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-wSOL.wh,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,bluechip,201,0.00,0.00,0,0,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-wstETH,terra1u0sp5gaw9amfa8vsaaqvvjpqqdyz4eeslzdjsgaq40afctpx7f6s6augj2,bluechip,201,0.00,6.66,0,9,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-WBTC,terra1p996av7ftzj973swd4yt2er2sn3v9y5j9qfxz67gatnrpf8lfgwsel8hcg,bluechip,201,0.00,0.38,0,2,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-wBNB.wh,terra1v3xmc8nn8h8e7z55d80a72g4rgz6mrxyasxq089k8n6m40xldlksf2w5x8,bluechip,201,0.00,0.00,0,0,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,WHALE-ampWHALE,terra129hvq9mgqtye4kg0cfmv9z6sq5f7sgpmrspr72968xx20gx4t2rqvpue0z,single,201,0.00,0.00,0,0,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,WHALE-bWHALE,terra18hhsyrjac6hud4tc9q05s8em35utm6jndswhw5v56lh5ld37ml6secl2rd,single,201,0.00,0.00,0,0,no-data,false
2026-epoch-201,2026-08-31,2026-09-06,21,36,true,astroport,LUNA-WHALE,terra1a6d0lcvfzyllulaaazzg5j70yn4m3e2t90shtlxsr3fwhcg34g2sgwfr75,project,201,0.00,0.01,0,1,no-data,false
